plugin_name,platform,stars_value,repo,metric,downloads_value,github_open_issues
React Developer Tools,chrome,240888.0,facebook/react,stars_value,,
React Developer Tools,firefox,240886.0,facebook/react,stars_value,,
uBlock Origin,chrome,59993.0,gorhill/uBlock,stars_value,,
uBlock Origin,firefox,59992.0,gorhill/uBlock,stars_value,,
PDF Viewer,chrome,52324.0,mozilla/pdf.js,stars_value,,
Alibaba Java Coding Guidelines,jetbrains,30774.0,alibaba/p3c,stars_value,,
Refined GitHub,chrome,29788.0,refined-github/refined-github,stars_value,,
Lighthouse,chrome,29589.0,GoogleChrome/lighthouse,stars_value,,
Google Lighthouse,firefox,29588.0,GoogleChrome/lighthouse,stars_value,,
Vimium,chrome,25645.0,philc/vimium,stars_value,,
Python,vscode,,Microsoft/vscode-python,downloads_value,188638413.0,
Pylance,vscode,,microsoft/pylance-release,downloads_value,156525374.0,
Jupyter,vscode,,Microsoft/vscode-jupyter,downloads_value,96958328.0,
Python Debugger,vscode,,microsoft/vscode-python-debugger,downloads_value,94004998.0,
C/C++,vscode,,Microsoft/vscode-cpptools,downloads_value,89407997.0,
Fabric API,minecraft,,FabricMC/fabric,downloads_value,86755692.0,
Sodium,minecraft,,CaffeineMC/sodium,downloads_value,82656542.0,
Jupyter Keymap,vscode,,Microsoft/vscode-jupyter-keymap,downloads_value,76835715.0,
Jupyter Notebook Renderers,vscode,,Microsoft/vscode-notebook-renderers,downloads_value,75920747.0,
Live Server,vscode,,ritwickdey/vscode-live-server,downloads_value,69910767.0,
I still don't care about cookies,chrome,,OhMyGuus/I-Still-Dont-Care-About-Cookies,github_open_issues,,8883.0
Gutenberg,wordpress,,WordPress/gutenberg,github_open_issues,,7604.0
MetaMask,chrome,,MetaMask/metamask-extension,github_open_issues,,2505.0
Live Server,vscode,,ritwickdey/vscode-live-server,github_open_issues,,2360.0
AI Grammar Checker & Paraphraser â€“ LanguageTool,chrome,,languagetool-org/languagetool,github_open_issues,,2056.0
LanguageTool,chrome,,languagetool-org/languagetool,github_open_issues,,2056.0
Vim,vscode,,VSCodeVim/Vim,github_open_issues,,1827.0
C/C++,vscode,,Microsoft/vscode-cpptools,github_open_issues,,1399.0
C/C++ Themes,vscode,,Microsoft/vscode-cpptools,github_open_issues,,1399.0
C/C++ Extension Pack,vscode,,microsoft/vscode-cpptools,github_open_issues,,1399.0
